device_id,actual_label,predicted_label,actual_norm,predicted_norm,kem_time_ms,encryption_time_ms,network_time_ms,total_time_ms,kem_ciphertext_size_bytes,ciphertext_size_bytes,nonce_size_bytes,timestamp
smartplug01,BenignTraffic,,Benign,,57.08161299844505,1.5368730018963106,87.23054599977331,157.74679700189154,768,1795,12,2026-07-06T18:11:49.653118+00:00
camera01,DDoS-SYN_Flood,,Attack,,0.1273059970117174,0.07690400161664002,6.946429999516113,7.530358001531567,768,1791,12,2026-07-06T18:11:50.662018+00:00
doorlock01,BenignTraffic,,Benign,,0.10580500020296313,0.08330399941769429,9.799165996810189,10.231387001113035,768,1844,12,2026-07-06T18:11:51.673376+00:00
motionsensor01,BenignTraffic,,Benign,,0.08510499901603907,0.07020299744908698,9.020549998240313,9.437070999410935,768,1934,12,2026-07-06T18:11:52.683972+00:00
thermostat01,DoS-SYN_Flood,,Attack,,0.08890499884728342,0.0704039994161576,6.723636000970146,7.213660999696003,768,1954,12,2026-07-06T18:11:53.692244+00:00
smartplug01,BenignTraffic,,Benign,,0.09410499842488207,0.1191060000564903,8.07280300068669,8.653431999846362,768,1950,12,2026-07-06T18:11:54.702230+00:00
camera01,BenignTraffic,,Benign,,0.08420499943895265,0.07360399831668474,7.73118699726183,8.253513002273394,768,1944,12,2026-07-06T18:11:55.711764+00:00
doorlock01,BenignTraffic,,Benign,,0.11340600030962378,0.09910500011756085,8.262313000159338,8.988549001514912,768,1946,12,2026-07-06T18:11:56.722064+00:00
motionsensor01,Mirai-greeth_flood,,Attack,,0.09330399916507304,0.14310799815575592,6.0407019991544075,6.585529001313262,768,1877,12,2026-07-06T18:11:57.729762+00:00
thermostat01,BenignTraffic,,Benign,,0.09240500003215857,0.08810399958747439,6.420821002393495,7.023351001407718,768,1934,12,2026-07-06T18:11:58.737907+00:00
smartplug01,BenignTraffic,,Benign,,0.09200400018016808,0.07040300260996446,8.208110000850866,8.626931001344929,768,1933,12,2026-07-06T18:11:59.747511+00:00
camera01,BenignTraffic,,Benign,,0.08710499969311059,0.08200499723898247,7.430872999975691,7.944898999994621,768,1931,12,2026-07-06T18:12:00.756724+00:00
doorlock01,DDoS-PSHACK_Flood,,Attack,,0.08750399865675718,0.07520399958593771,6.727037998643937,7.1288579965766985,768,1851,12,2026-07-06T18:12:01.765018+00:00
motionsensor01,DDoS-ICMP_Flood,,Attack,,0.1012050015560817,0.07070299761835486,8.246313998824917,8.683735999511555,768,1845,12,2026-07-06T18:12:02.774743+00:00
thermostat01,DoS-TCP_Flood,,Attack,,0.09090399908018298,0.07470400305464864,6.617031998757739,7.115057000191882,768,1758,12,2026-07-06T18:12:03.782939+00:00
smartplug01,BenignTraffic,,Benign,,0.1443069995730184,0.1001050004560966,6.380219998391112,6.973749997996492,768,1760,12,2026-07-06T18:12:04.791069+00:00
camera01,BenignTraffic,,Benign,,0.09620499986340292,0.06830400161561556,7.798491002176888,8.423823997873114,768,1760,12,2026-07-06T18:12:05.800727+00:00
doorlock01,BenignTraffic,,Benign,,0.08580500070820563,0.0666029991407413,6.5152269999089185,6.915547000971856,768,1839,12,2026-07-06T18:12:06.808822+00:00
motionsensor01,BenignTraffic,,Benign,,0.0925050007936079,0.08660500316182151,6.403921997844009,6.846644002507674,768,1931,12,2026-07-06T18:12:07.816783+00:00
thermostat01,DDoS-RSTFINFlood,,Attack,,0.08890500248526223,0.06950299939489923,11.707282999850577,12.129904000175884,768,1929,12,2026-07-06T18:12:08.830129+00:00
smartplug01,DDoS-ICMP_Flood,,Attack,,0.0942049991863314,0.10040499910246581,7.985997999639949,8.65823099957197,768,1840,12,2026-07-06T18:12:09.839859+00:00
camera01,BenignTraffic,,Benign,,0.09280499943997711,0.06830300117144361,6.7190339977969415,7.243960000778316,768,1831,12,2026-07-06T18:12:10.848173+00:00
doorlock01,DoS-TCP_Flood,,Attack,,0.09490500087849796,0.09430499994778074,7.1458560014434624,7.75218600028893,768,1836,12,2026-07-06T18:12:11.856643+00:00
motionsensor01,BenignTraffic,,Benign,,0.09600499834050424,0.09880499783321284,6.663030999334296,7.270762002008269,768,1829,12,2026-07-06T18:12:12.865004+00:00
thermostat01,DDoS-RSTFINFlood,,Attack,,0.08090400297078304,0.10990599912474863,6.18350799777545,6.644430999585893,768,1831,12,2026-07-06T18:12:13.872722+00:00
smartplug01,BenignTraffic,,Benign,,0.0946040017879568,0.07960400034789927,7.212358999822754,7.694882999203401,768,1906,12,2026-07-06T18:12:14.881478+00:00
camera01,BenignTraffic,,Benign,,0.08900499960873276,0.07850400288589299,7.299463999515865,7.8774920002615545,768,1903,12,2026-07-06T18:12:15.890390+00:00
doorlock01,BenignTraffic,,Benign,,0.08890399840311147,0.07120400186977349,7.31436699788901,7.862894002755638,768,1887,12,2026-07-06T18:12:16.899268+00:00
motionsensor01,DoS-UDP_Flood,,Attack,,0.10870500045712106,0.07620299948030151,5.974899002467282,6.615532001887914,768,1808,12,2026-07-06T18:12:17.907203+00:00
thermostat01,BenignTraffic,,Benign,,0.09280499943997711,0.08840500231599435,6.737937997968402,7.355268997343956,768,1889,12,2026-07-06T18:12:18.915899+00:00
smartplug01,BenignTraffic,,Benign,,0.08850499943946488,0.07400400136248209,7.0146510006452445,7.488675000786316,768,1895,12,2026-07-06T18:12:19.924413+00:00
camera01,BenignTraffic,,Benign,,0.09060500087798573,0.07090300277923234,6.406020998838358,6.827642002463108,768,1894,12,2026-07-06T18:12:20.932283+00:00
doorlock01,DoS-UDP_Flood,,Attack,,0.16100799984997138,0.121105997095583,6.691036000120221,7.271765000041341,768,1914,12,2026-07-06T18:12:21.940716+00:00
motionsensor01,DDoS-TCP_Flood,,Attack,,0.09950499952537939,0.09960500028682873,7.2396619980281685,7.925697998871328,768,2002,12,2026-07-06T18:12:22.949754+00:00
thermostat01,BenignTraffic,,Benign,,0.09450400102650747,0.07840400212444365,5.983500999718672,6.452424000599422,768,1992,12,2026-07-06T18:12:23.957440+00:00
smartplug01,DDoS-UDP_Flood,,Attack,,0.10740599827840924,0.08730400077183731,6.983950999710942,7.5169779993302654,768,1916,12,2026-07-06T18:12:24.966093+00:00
camera01,BenignTraffic,,Benign,,0.10950499927275814,0.09110500104725361,7.72398800108931,8.293816998047987,768,1918,12,2026-07-06T18:12:25.975453+00:00
doorlock01,BenignTraffic,,Benign,,0.09850499918684363,0.09710499944048934,7.238564001454506,7.895397000538651,768,1922,12,2026-07-06T18:12:26.984666+00:00
motionsensor01,BenignTraffic,,Benign,,0.08980500206234865,0.07930399806355126,6.11340799878235,6.610033000470139,768,1930,12,2026-07-06T18:12:27.992404+00:00
thermostat01,DDoS-RSTFINFlood,,Attack,,0.09080399831873365,0.06890299846418202,6.760440002835821,7.175460999860661,768,1857,12,2026-07-06T18:12:29.000556+00:00
smartplug01,BenignTraffic,,Benign,,0.0967050000326708,0.14970800111768767,6.381620998581639,7.189762000052724,768,1930,12,2026-07-06T18:12:30.009113+00:00
camera01,BenignTraffic,,Benign,,0.12580600014189258,0.10860600013984367,7.111757997336099,7.778691000567051,768,1921,12,2026-07-06T18:12:31.018122+00:00
doorlock01,DDoS-SYN_Flood,,Attack,,0.08640499800094403,0.07570399975520559,6.2028290012676734,6.669653997960268,768,1842,12,2026-07-06T18:12:32.025909+00:00
motionsensor01,BenignTraffic,,Benign,,0.09810499977902509,0.0842039989947807,7.472695000615204,7.919318999483949,768,1850,12,2026-07-06T18:12:33.034861+00:00
thermostat01,BenignTraffic,,Benign,,0.09740499808685854,0.0798050023149699,6.635450998146553,7.198380997579079,768,1931,12,2026-07-06T18:12:34.043299+00:00
smartplug01,Mirai-greeth_flood,,Attack,,0.09060400043381378,0.07570399975520559,6.807460002164589,7.243382999149617,768,1916,12,2026-07-06T18:12:35.051869+00:00
